Image,Class
poligons_Mezs\4114-14_2_tile_2240_4928.tif,13
poligons_Mezs\4114-14_2_tile_2240_5152.tif,13
poligons_Mezs\4114-14_2_tile_2240_5376.tif,13
poligons_Mezs\4114-14_2_tile_2240_5600.tif,13
poligons_Parejas_zemes\4114-14_2_tile_2240_7840.tif,15
poligons_Parejas_zemes\4114-14_2_tile_2240_8064.tif,15
poligons_Parejas_zemes\4114-14_2_tile_2240_8288.tif,15
poligons_Parejas_zemes\4114-14_2_tile_2240_8512.tif,15
poligons_Parejas_zemes\4114-14_2_tile_2240_9632.tif,15
poligons_Mezs\4114-14_2_tile_224_9632.tif,13
poligons_Mezs\4114-14_2_tile_2464_2912.tif,13
poligons_Mezs\4114-14_2_tile_2464_3136.tif,13
poligons_Mezs\4114-14_2_tile_2464_3360.tif,13
poligons_Mezs\4114-14_2_tile_2464_3584.tif,13
poligons_Mezs\4114-14_2_tile_2464_3808.tif,13
poligons_Mezs\4114-14_2_tile_2464_4032.tif,13
poligons_Mezs\4114-14_2_tile_2464_4256.tif,13
poligons_Mezs\4114-14_2_tile_2464_4480.tif,13
poligons_Mezs\4114-14_2_tile_2464_4704.tif,13
poligons_Mezs\4114-14_2_tile_2464_4928.tif,13
poligons_Mezs\4114-14_2_tile_2464_5152.tif,13
poligons_Parejas_zemes\4114-14_2_tile_2464_8736.tif,15
poligons_Parejas_zemes\4114-14_2_tile_2464_9184.tif,15
poligons_Mezs\4114-14_2_tile_2688_1792.tif,13
poligons_Mezs\4114-14_2_tile_2688_2016.tif,13
poligons_Mezs\4114-14_2_tile_2688_2240.tif,13
poligons_Mezs\4114-14_2_tile_2688_2464.tif,13
poligons_Mezs\4114-14_2_tile_2688_2688.tif,13
poligons_Mezs\4114-14_2_tile_2688_2912.tif,13
poligons_Mezs\4114-14_2_tile_2688_3136.tif,13
poligons_Mezs\4114-14_2_tile_2688_3360.tif,13
poligons_Mezs\4114-14_2_tile_2688_3584.tif,13
poligons_Mezs\4114-14_2_tile_2688_3808.tif,13
poligons_Mezs\4114-14_2_tile_2688_4032.tif,13
poligons_Mezs\4114-14_2_tile_2688_4256.tif,13
poligons_Mezs\4114-14_2_tile_2688_4480.tif,13
poligons_Mezs\4114-14_2_tile_2688_4704.tif,13
poligons_Mezs\4114-14_2_tile_2688_4928.tif,13
poligons_Mezs\4114-14_2_tile_2688_5152.tif,13
poligons_Mezs\4114-14_2_tile_2688_5376.tif,13
poligons_Parejas_zemes\4114-14_2_tile_2688_6048.tif,15
poligons_Parejas_zemes\4114-14_2_tile_2688_6720.tif,15
poligons_Parejas_zemes\4114-14_2_tile_2688_6944.tif,15
poligons_Parejas_zemes\4114-14_2_tile_2688_7168.tif,15
poligons_Parejas_zemes\4114-14_2_tile_2688_8736.tif,15
poligons_Parejas_zemes\4114-14_2_tile_2688_9408.tif,15
poligons_Parejas_zemes\4114-14_2_tile_2688_9632.tif,15
poligons_Plava\4114-14_2_tile_2912_224.tif,17
poligons_Mezs\4114-14_2_tile_2912_2240.tif,13
poligons_Mezs\4114-14_2_tile_2912_2464.tif,13
poligons_Mezs\4114-14_2_tile_2912_2688.tif,13
poligons_Mezs\4114-14_2_tile_2912_2912.tif,13
poligons_Mezs\4114-14_2_tile_2912_3136.tif,13
poligons_Mezs\4114-14_2_tile_2912_3360.tif,13
poligons_Mezs\4114-14_2_tile_2912_3584.tif,13
poligons_Mezs\4114-14_2_tile_2912_3808.tif,13
poligons_Mezs\4114-14_2_tile_2912_4032.tif,13
poligons_Mezs\4114-14_2_tile_2912_4256.tif,13
poligons_Mezs\4114-14_2_tile_2912_4480.tif,13
poligons_Mezs\4114-14_2_tile_2912_4704.tif,13
poligons_Mezs\4114-14_2_tile_2912_4928.tif,13
poligons_Mezs\4114-14_2_tile_2912_5152.tif,13
poligons_Parejas_zemes\4114-14_2_tile_2912_6048.tif,15
poligons_Parejas_zemes\4114-14_2_tile_2912_6272.tif,15
poligons_Parejas_zemes\4114-14_2_tile_2912_6496.tif,15
poligons_Parejas_zemes\4114-14_2_tile_2912_6720.tif,15
poligons_Parejas_zemes\4114-14_2_tile_2912_6944.tif,15
poligons_Parejas_zemes\4114-14_2_tile_2912_7168.tif,15
poligons_Parejas_zemes\4114-14_2_tile_2912_7392.tif,15
poligons_Parejas_zemes\4114-14_2_tile_2912_7616.tif,15
poligons_Parejas_zemes\4114-14_2_tile_2912_7840.tif,15
poligons_Parejas_zemes\4114-14_2_tile_2912_8064.tif,15
poligons_Parejas_zemes\4114-14_2_tile_2912_8736.tif,15
poligons_Parejas_zemes\4114-14_2_tile_2912_8960.tif,15
poligons_Parejas_zemes\4114-14_2_tile_2912_9184.tif,15
poligons_Parejas_zemes\4114-14_2_tile_2912_9408.tif,15
poligons_Parejas_zemes\4114-14_2_tile_2912_9632.tif,15
poligons_Mezs\4114-14_2_tile_3136_2464.tif,13
poligons_Mezs\4114-14_2_tile_3136_2688.tif,13
poligons_Mezs\4114-14_2_tile_3136_2912.tif,13
poligons_Mezs\4114-14_2_tile_3136_3136.tif,13
poligons_Mezs\4114-14_2_tile_3136_3360.tif,13
poligons_Mezs\4114-14_2_tile_3136_3584.tif,13
poligons_Mezs\4114-14_2_tile_3136_3808.tif,13
poligons_Mezs\4114-14_2_tile_3136_4032.tif,13
poligons_Mezs\4114-14_2_tile_3136_4256.tif,13
poligons_Mezs\4114-14_2_tile_3136_4480.tif,13
poligons_Mezs\4114-14_2_tile_3136_5152.tif,13
poligons_Mezs\4114-14_2_tile_3136_5376.tif,13
poligons_Parejas_zemes\4114-14_2_tile_3136_6048.tif,15
poligons_Parejas_zemes\4114-14_2_tile_3136_6272.tif,15
poligons_Parejas_zemes\4114-14_2_tile_3136_6496.tif,15
poligons_Mezs\4114-14_2_tile_3136_672.tif,13
poligons_Parejas_zemes\4114-14_2_tile_3136_6720.tif,15
poligons_Parejas_zemes\4114-14_2_tile_3136_6944.tif,15
poligons_Parejas_zemes\4114-14_2_tile_3136_7168.tif,15
poligons_Parejas_zemes\4114-14_2_tile_3136_7392.tif,15
poligons_Parejas_zemes\4114-14_2_tile_3136_7616.tif,15
poligons_Parejas_zemes\4114-14_2_tile_3136_7840.tif,15
poligons_Parejas_zemes\4114-14_2_tile_3136_8064.tif,15
poligons_Parejas_zemes\4114-14_2_tile_3136_8960.tif,15
poligons_Parejas_zemes\4114-14_2_tile_3136_9184.tif,15
poligons_Parejas_zemes\4114-14_2_tile_3136_9632.tif,15
poligons_Parejas_zemes\4114-14_2_tile_3360_1568.tif,15
poligons_Mezs\4114-14_2_tile_3360_224.tif,13
poligons_Mezs\4114-14_2_tile_3360_2912.tif,13
poligons_Mezs\4114-14_2_tile_3360_3136.tif,13
poligons_Mezs\4114-14_2_tile_3360_3360.tif,13
poligons_Mezs\4114-14_2_tile_3360_3584.tif,13
poligons_Mezs\4114-14_2_tile_3360_3808.tif,13
poligons_Mezs\4114-14_2_tile_3360_4032.tif,13
poligons_Mezs\4114-14_2_tile_3360_4256.tif,13
poligons_Mezs\4114-14_2_tile_3360_448.tif,13
poligons_Mezs\4114-14_2_tile_3360_4480.tif,13
poligons_Parejas_zemes\4114-14_2_tile_3360_5824.tif,15
poligons_Parejas_zemes\4114-14_2_tile_3360_6048.tif,15
poligons_Parejas_zemes\4114-14_2_tile_3360_6272.tif,15
poligons_Parejas_zemes\4114-14_2_tile_3360_6496.tif,15
poligons_Mezs\4114-14_2_tile_3360_672.tif,13
poligons_Parejas_zemes\4114-14_2_tile_3360_6720.tif,15
poligons_Parejas_zemes\4114-14_2_tile_3360_6944.tif,15
poligons_Parejas_zemes\4114-14_2_tile_3360_7168.tif,15
poligons_Parejas_zemes\4114-14_2_tile_3360_7392.tif,15
poligons_Parejas_zemes\4114-14_2_tile_3360_8960.tif,15
poligons_Parejas_zemes\4114-14_2_tile_3584_1344.tif,15
poligons_Parejas_zemes\4114-14_2_tile_3584_1568.tif,15
poligons_Mezs\4114-14_2_tile_3584_2912.tif,13
poligons_Mezs\4114-14_2_tile_3584_3136.tif,13
poligons_Mezs\4114-14_2_tile_3584_3360.tif,13
poligons_Mezs\4114-14_2_tile_3584_3584.tif,13
poligons_Mezs\4114-14_2_tile_3584_3808.tif,13
poligons_Mezs\4114-14_2_tile_3584_4032.tif,13
poligons_Mezs\4114-14_2_tile_3584_4256.tif,13
poligons_Parejas_zemes\4114-14_2_tile_3584_5600.tif,15
poligons_Parejas_zemes\4114-14_2_tile_3584_5824.tif,15
poligons_Parejas_zemes\4114-14_2_tile_3584_6048.tif,15
poligons_Parejas_zemes\4114-14_2_tile_3584_6272.tif,15
poligons_Parejas_zemes\4114-14_2_tile_3584_6496.tif,15
poligons_Parejas_zemes\4114-14_2_tile_3584_6720.tif,15
poligons_Parejas_zemes\4114-14_2_tile_3584_6944.tif,15
poligons_Mezs\4114-14_2_tile_3584_8512.tif,13
poligons_Parejas_zemes\4114-14_2_tile_3808_1568.tif,15
poligons_Parejas_zemes\4114-14_2_tile_3808_1792.tif,15
poligons_Parejas_zemes\4114-14_2_tile_3808_2016.tif,15
poligons_Parejas_zemes\4114-14_2_tile_3808_2240.tif,15
poligons_Mezs\4114-14_2_tile_3808_3136.tif,13
poligons_Mezs\4114-14_2_tile_3808_3360.tif,13
poligons_Mezs\4114-14_2_tile_3808_3584.tif,13
poligons_Mezs\4114-14_2_tile_3808_3808.tif,13
poligons_Mezs\4114-14_2_tile_3808_4032.tif,13
poligons_Mezs\4114-14_2_tile_3808_4256.tif,13
poligons_Parejas_zemes\4114-14_2_tile_3808_5376.tif,15
poligons_Parejas_zemes\4114-14_2_tile_3808_5600.tif,15
poligons_Parejas_zemes\4114-14_2_tile_3808_5824.tif,15
poligons_Parejas_zemes\4114-14_2_tile_3808_6048.tif,15
poligons_Parejas_zemes\4114-14_2_tile_3808_6272.tif,15
poligons_Parejas_zemes\4114-14_2_tile_3808_6496.tif,15
poligons_Parejas_zemes\4114-14_2_tile_3808_6720.tif,15
poligons_Mezs\4114-14_2_tile_3808_9184.tif,13
poligons_Mezs\4114-14_2_tile_3808_9408.tif,13
poligons_Mezs\4114-14_2_tile_3808_9632.tif,13
poligons_Parejas_zemes\4114-14_2_tile_4032_1120.tif,15
poligons_Parejas_zemes\4114-14_2_tile_4032_1344.tif,15
poligons_Parejas_zemes\4114-14_2_tile_4032_1568.tif,15
poligons_Parejas_zemes\4114-14_2_tile_4032_1792.tif,15
poligons_Parejas_zemes\4114-14_2_tile_4032_2016.tif,15
poligons_Parejas_zemes\4114-14_2_tile_4032_2240.tif,15
poligons_Mezs\4114-14_2_tile_4032_3136.tif,13
poligons_Mezs\4114-14_2_tile_4032_3808.tif,13
poligons_Mezs\4114-14_2_tile_4032_4032.tif,13
poligons_Mezs\4114-14_2_tile_4032_4704.tif,13
poligons_Parejas_zemes\4114-14_2_tile_4032_5376.tif,15
poligons_Parejas_zemes\4114-14_2_tile_4032_5600.tif,15
poligons_Parejas_zemes\4114-14_2_tile_4032_5824.tif,15
poligons_Parejas_zemes\4114-14_2_tile_4032_6048.tif,15
poligons_Parejas_zemes\4114-14_2_tile_4032_6272.tif,15
poligons_Parejas_zemes\4114-14_2_tile_4032_6496.tif,15
poligons_Mezs\4114-14_2_tile_4032_8064.tif,13
poligons_Mezs\4114-14_2_tile_4032_8288.tif,13
poligons_Mezs\4114-14_2_tile_4032_8512.tif,13
poligons_Mezs\4114-14_2_tile_4032_8736.tif,13
poligons_Mezs\4114-14_2_tile_4032_9408.tif,13
poligons_Mezs\4114-14_2_tile_4032_9632.tif,13
poligons_Parejas_zemes\4114-14_2_tile_4256_1120.tif,15
poligons_Parejas_zemes\4114-14_2_tile_4256_1344.tif,15
poligons_Parejas_zemes\4114-14_2_tile_4256_1568.tif,15
poligons_Parejas_zemes\4114-14_2_tile_4256_1792.tif,15
poligons_Parejas_zemes\4114-14_2_tile_4256_2016.tif,15
poligons_Mezs\4114-14_2_tile_4256_3136.tif,13
poligons_Mezs\4114-14_2_tile_4256_3360.tif,13
poligons_Mezs\4114-14_2_tile_4256_3584.tif,13
poligons_Mezs\4114-14_2_tile_4256_3808.tif,13
poligons_Mezs\4114-14_2_tile_4256_4032.tif,13
poligons_Mezs\4114-14_2_tile_4256_4256.tif,13
poligons_Mezs\4114-14_2_tile_4256_4480.tif,13
poligons_Parejas_zemes\4114-14_2_tile_4256_5376.tif,15
poligons_Parejas_zemes\4114-14_2_tile_4256_5600.tif,15
poligons_Mezs\4114-14_2_tile_4256_7392.tif,13
poligons_Mezs\4114-14_2_tile_4256_7616.tif,13
poligons_Mezs\4114-14_2_tile_4256_7840.tif,13
poligons_Mezs\4114-14_2_tile_4256_8064.tif,13
poligons_Mezs\4114-14_2_tile_4256_8288.tif,13
poligons_Mezs\4114-14_2_tile_4256_8512.tif,13
poligons_Mezs\4114-14_2_tile_4256_8736.tif,13
poligons_Parejas_zemes\4114-14_2_tile_4256_896.tif,15
poligons_Mezs\4114-14_2_tile_4256_8960.tif,13
poligons_Mezs\4114-14_2_tile_4256_9184.tif,13
poligons_Mezs\4114-14_2_tile_4256_9408.tif,13
poligons_Mezs\4114-14_2_tile_4256_9632.tif,13
poligons_Mezs\4114-14_2_tile_4480_3360.tif,13
poligons_Mezs\4114-14_2_tile_4480_3584.tif,13
poligons_Mezs\4114-14_2_tile_4480_3808.tif,13
poligons_Parejas_zemes\4114-14_2_tile_4480_6048.tif,15
poligons_Parejas_zemes\4114-14_2_tile_4480_6272.tif,15
poligons_Parejas_zemes\4114-14_2_tile_4480_6496.tif,15
poligons_Parejas_zemes\4114-14_2_tile_4480_6720.tif,15
poligons_Parejas_zemes\4114-14_2_tile_4480_6944.tif,15
poligons_Mezs\4114-14_2_tile_4480_7392.tif,13
poligons_Mezs\4114-14_2_tile_4480_7616.tif,13
poligons_Mezs\4114-14_2_tile_4480_7840.tif,13
poligons_Mezs\4114-14_2_tile_4480_8064.tif,13
poligons_Mezs\4114-14_2_tile_4480_8288.tif,13
poligons_Mezs\4114-14_2_tile_4480_8512.tif,13
poligons_Mezs\4114-14_2_tile_4480_8736.tif,13
poligons_Mezs\4114-14_2_tile_4480_8960.tif,13
poligons_Mezs\4114-14_2_tile_4480_9184.tif,13
poligons_Mezs\4114-14_2_tile_4480_9408.tif,13
poligons_Mezs\4114-14_2_tile_4480_9632.tif,13
poligons_Parejas_zemes\4114-14_2_tile_4704_0.tif,15
poligons_Parejas_zemes\4114-14_2_tile_4704_5376.tif,15
poligons_Parejas_zemes\4114-14_2_tile_4704_5600.tif,15
poligons_Parejas_zemes\4114-14_2_tile_4704_5824.tif,15
poligons_Parejas_zemes\4114-14_2_tile_4704_6048.tif,15
poligons_Parejas_zemes\4114-14_2_tile_4704_6272.tif,15
poligons_Parejas_zemes\4114-14_2_tile_4704_6496.tif,15
poligons_Parejas_zemes\4114-14_2_tile_4704_672.tif,15
poligons_Parejas_zemes\4114-14_2_tile_4704_6720.tif,15
poligons_Parejas_zemes\4114-14_2_tile_4704_6944.tif,15
poligons_Mezs\4114-14_2_tile_4704_7392.tif,13
poligons_Mezs\4114-14_2_tile_4704_7616.tif,13
poligons_Mezs\4114-14_2_tile_4704_7840.tif,13
poligons_Mezs\4114-14_2_tile_4704_8064.tif,13
poligons_Mezs\4114-14_2_tile_4704_8288.tif,13
poligons_Mezs\4114-14_2_tile_4704_8512.tif,13
poligons_Mezs\4114-14_2_tile_4704_8736.tif,13
poligons_Mezs\4114-14_2_tile_4704_8960.tif,13
poligons_Mezs\4114-14_2_tile_4704_9184.tif,13
poligons_Mezs\4114-14_2_tile_4704_9408.tif,13
poligons_Mezs\4114-14_2_tile_4704_9632.tif,13
poligons_Parejas_zemes\4114-14_2_tile_4928_5824.tif,15
poligons_Parejas_zemes\4114-14_2_tile_4928_6048.tif,15
poligons_Parejas_zemes\4114-14_2_tile_4928_6272.tif,15
poligons_Parejas_zemes\4114-14_2_tile_4928_6496.tif,15
poligons_Parejas_zemes\4114-14_2_tile_4928_672.tif,15
poligons_Parejas_zemes\4114-14_2_tile_4928_6720.tif,15
poligons_Parejas_zemes\4114-14_2_tile_4928_6944.tif,15
poligons_Mezs\4114-14_2_tile_4928_7616.tif,13
poligons_Mezs\4114-14_2_tile_4928_7840.tif,13
poligons_Mezs\4114-14_2_tile_4928_8064.tif,13
poligons_Mezs\4114-14_2_tile_4928_8288.tif,13
poligons_Mezs\4114-14_2_tile_4928_8512.tif,13
poligons_Mezs\4114-14_2_tile_4928_8736.tif,13
poligons_Mezs\4114-14_2_tile_4928_8960.tif,13
poligons_Mezs\4114-14_2_tile_4928_9184.tif,13
poligons_Mezs\4114-14_2_tile_4928_9408.tif,13
poligons_Mezs\4114-14_2_tile_4928_9632.tif,13
poligons_Parejas_zemes\4114-14_2_tile_5152_1568.tif,15
poligons_Parejas_zemes\4114-14_2_tile_5152_2016.tif,15
poligons_Parejas_zemes\4114-14_2_tile_5152_2464.tif,15
poligons_Parejas_zemes\4114-14_2_tile_5152_4032.tif,15
poligons_Parejas_zemes\4114-14_2_tile_5152_4704.tif,15
poligons_Parejas_zemes\4114-14_2_tile_5152_4928.tif,15
poligons_Parejas_zemes\4114-14_2_tile_5152_5152.tif,15
poligons_Parejas_zemes\4114-14_2_tile_5152_6272.tif,15
poligons_Parejas_zemes\4114-14_2_tile_5152_6496.tif,15
poligons_Parejas_zemes\4114-14_2_tile_5152_6720.tif,15
poligons_Parejas_zemes\4114-14_2_tile_5152_6944.tif,15
poligons_Parejas_zemes\4114-14_2_tile_5152_7168.tif,15
poligons_Mezs\4114-14_2_tile_5152_7616.tif,13
poligons_Mezs\4114-14_2_tile_5152_7840.tif,13
poligons_Mezs\4114-14_2_tile_5152_8064.tif,13
poligons_Mezs\4114-14_2_tile_5152_8288.tif,13
poligons_Mezs\4114-14_2_tile_5152_8512.tif,13
poligons_Mezs\4114-14_2_tile_5152_8736.tif,13
poligons_Mezs\4114-14_2_tile_5152_8960.tif,13
poligons_Mezs\4114-14_2_tile_5152_9184.tif,13
poligons_Mezs\4114-14_2_tile_5152_9408.tif,13
poligons_Mezs\4114-14_2_tile_5152_9632.tif,13
poligons_Mezs\4114-14_2_tile_5376_1120.tif,13
poligons_Parejas_zemes\4114-14_2_tile_5376_1568.tif,15
poligons_Parejas_zemes\4114-14_2_tile_5376_2016.tif,15
poligons_Parejas_zemes\4114-14_2_tile_5376_2464.tif,15
poligons_Parejas_zemes\4114-14_2_tile_5376_2688.tif,15
poligons_Parejas_zemes\4114-14_2_tile_5376_3584.tif,15
poligons_Parejas_zemes\4114-14_2_tile_5376_3808.tif,15
poligons_Parejas_zemes\4114-14_2_tile_5376_4032.tif,15
poligons_Parejas_zemes\4114-14_2_tile_5376_4704.tif,15
poligons_Parejas_zemes\4114-14_2_tile_5376_6496.tif,15
poligons_Parejas_zemes\4114-14_2_tile_5376_6720.tif,15
poligons_Parejas_zemes\4114-14_2_tile_5376_6944.tif,15
poligons_Parejas_zemes\4114-14_2_tile_5376_7168.tif,15
poligons_Mezs\4114-14_2_tile_5376_7616.tif,13
poligons_Mezs\4114-14_2_tile_5376_7840.tif,13
poligons_Mezs\4114-14_2_tile_5376_8064.tif,13
poligons_Mezs\4114-14_2_tile_5376_8288.tif,13
poligons_Mezs\4114-14_2_tile_5376_8512.tif,13
poligons_Mezs\4114-14_2_tile_5376_8736.tif,13
poligons_Parejas_zemes\4114-14_2_tile_5600_0.tif,15
poligons_Parejas_zemes\4114-14_2_tile_5600_1568.tif,15
poligons_Parejas_zemes\4114-14_2_tile_5600_2016.tif,15
poligons_Parejas_zemes\4114-14_2_tile_5600_224.tif,15
poligons_Parejas_zemes\4114-14_2_tile_5600_3808.tif,15
poligons_Parejas_zemes\4114-14_2_tile_5600_4032.tif,15
poligons_Parejas_zemes\4114-14_2_tile_5600_4256.tif,15
poligons_Mezs\4114-14_2_tile_5600_672.tif,13
poligons_Parejas_zemes\4114-14_2_tile_5600_6720.tif,15
poligons_Parejas_zemes\4114-14_2_tile_5600_6944.tif,15
poligons_Mezs\4114-14_2_tile_5600_7616.tif,13
poligons_Mezs\4114-14_2_tile_5600_7840.tif,13
poligons_Mezs\4114-14_2_tile_5600_8064.tif,13
poligons_Mezs\4114-14_2_tile_5600_8288.tif,13
poligons_Mezs\4114-14_2_tile_5600_8512.tif,13
poligons_Mezs\4114-14_2_tile_5600_8736.tif,13
poligons_Mezs\4114-14_2_tile_5600_896.tif,13
poligons_Izcirtums\4114-14_2_tile_5600_9408.tif,4
poligons_Parejas_zemes\4114-14_2_tile_5824_224.tif,15
poligons_Parejas_zemes\4114-14_2_tile_5824_2464.tif,15
poligons_Parejas_zemes\4114-14_2_tile_5824_2688.tif,15
poligons_Parejas_zemes\4114-14_2_tile_5824_2912.tif,15
poligons_Parejas_zemes\4114-14_2_tile_5824_4256.tif,15
poligons_Parejas_zemes\4114-14_2_tile_5824_4480.tif,15
poligons_Parejas_zemes\4114-14_2_tile_5824_5600.tif,15
poligons_Mezs\4114-14_2_tile_5824_7392.tif,13
poligons_Mezs\4114-14_2_tile_5824_7616.tif,13
poligons_Mezs\4114-14_2_tile_5824_7840.tif,13
poligons_Mezs\4114-14_2_tile_5824_8064.tif,13
poligons_Mezs\4114-14_2_tile_5824_8288.tif,13
poligons_Mezs\4114-14_2_tile_5824_8512.tif,13
poligons_Mezs\4114-14_2_tile_5824_8736.tif,13
poligons_Mezs\4114-14_2_tile_5824_8960.tif,13
poligons_Parejas_zemes\4114-14_2_tile_6048_1568.tif,15
poligons_Parejas_zemes\4114-14_2_tile_6048_1792.tif,15
poligons_Parejas_zemes\4114-14_2_tile_6048_4032.tif,15
poligons_Parejas_zemes\4114-14_2_tile_6048_4256.tif,15
poligons_Parejas_zemes\4114-14_2_tile_6048_4480.tif,15
poligons_Parejas_zemes\4114-14_2_tile_6048_4704.tif,15
poligons_Parejas_zemes\4114-14_2_tile_6048_5600.tif,15
poligons_Parejas_zemes\4114-14_2_tile_6048_5824.tif,15
poligons_Parejas_zemes\4114-14_2_tile_6048_6048.tif,15
poligons_Mezs\4114-14_2_tile_6048_7168.tif,13
poligons_Mezs\4114-14_2_tile_6048_7392.tif,13
poligons_Mezs\4114-14_2_tile_6048_7616.tif,13
poligons_Mezs\4114-14_2_tile_6048_7840.tif,13
poligons_Mezs\4114-14_2_tile_6048_8064.tif,13
poligons_Mezs\4114-14_2_tile_6048_8288.tif,13
poligons_Mezs\4114-14_2_tile_6048_8512.tif,13
poligons_Mezs\4114-14_2_tile_6048_8736.tif,13
poligons_Mezs\4114-14_2_tile_6048_8960.tif,13
poligons_Mezs\4114-14_2_tile_6272_1120.tif,13
poligons_Parejas_zemes\4114-14_2_tile_6272_2240.tif,15
poligons_Parejas_zemes\4114-14_2_tile_6272_2464.tif,15
poligons_Parejas_zemes\4114-14_2_tile_6272_2688.tif,15
poligons_Parejas_zemes\4114-14_2_tile_6272_2912.tif,15
poligons_Parejas_zemes\4114-14_2_tile_6272_3136.tif,15
poligons_Parejas_zemes\4114-14_2_tile_6272_3360.tif,15
poligons_Parejas_zemes\4114-14_2_tile_6272_3584.tif,15
poligons_Parejas_zemes\4114-14_2_tile_6272_4032.tif,15
poligons_Parejas_zemes\4114-14_2_tile_6272_4256.tif,15
poligons_Parejas_zemes\4114-14_2_tile_6272_4480.tif,15
poligons_Parejas_zemes\4114-14_2_tile_6272_4704.tif,15
poligons_Parejas_zemes\4114-14_2_tile_6272_5600.tif,15
poligons_Parejas_zemes\4114-14_2_tile_6272_5824.tif,15
poligons_Parejas_zemes\4114-14_2_tile_6272_6048.tif,15
poligons_Mezs\4114-14_2_tile_6272_6496.tif,13
poligons_Mezs\4114-14_2_tile_6272_6944.tif,13
poligons_Mezs\4114-14_2_tile_6272_7168.tif,13
poligons_Mezs\4114-14_2_tile_6272_7392.tif,13
poligons_Mezs\4114-14_2_tile_6272_7616.tif,13
poligons_Mezs\4114-14_2_tile_6272_7840.tif,13
poligons_Mezs\4114-14_2_tile_6272_8064.tif,13
poligons_Mezs\4114-14_2_tile_6272_8288.tif,13
poligons_Mezs\4114-14_2_tile_6272_8512.tif,13
poligons_Mezs\4114-14_2_tile_6272_8736.tif,13
poligons_Mezs\4114-14_2_tile_6272_8960.tif,13
poligons_Mezs\4114-14_2_tile_6496_1120.tif,13
poligons_Mezs\4114-14_2_tile_6496_1344.tif,13
poligons_Mezs\4114-14_2_tile_6496_1568.tif,13
poligons_Parejas_zemes\4114-14_2_tile_6496_4032.tif,15
poligons_Parejas_zemes\4114-14_2_tile_6496_4256.tif,15
poligons_Parejas_zemes\4114-14_2_tile_6496_4480.tif,15
poligons_Parejas_zemes\4114-14_2_tile_6496_4704.tif,15
poligons_Parejas_zemes\4114-14_2_tile_6496_5376.tif,15
poligons_Parejas_zemes\4114-14_2_tile_6496_5600.tif,15
poligons_Parejas_zemes\4114-14_2_tile_6496_5824.tif,15
poligons_Parejas_zemes\4114-14_2_tile_6496_6048.tif,15
poligons_Mezs\4114-14_2_tile_6496_7168.tif,13
poligons_Mezs\4114-14_2_tile_6496_7392.tif,13
poligons_Mezs\4114-14_2_tile_6496_7616.tif,13
poligons_Mezs\4114-14_2_tile_6496_7840.tif,13
poligons_Mezs\4114-14_2_tile_6496_8064.tif,13
poligons_Mezs\4114-14_2_tile_6496_8288.tif,13
poligons_Mezs\4114-14_2_tile_6496_8512.tif,13
poligons_Mezs\4114-14_2_tile_6496_8736.tif,13
